pid,country,pname,brand,price
B00A21A58Y,de,"Samsung Galaxy Note 2 3G, LTE silber",T-Mobile,605.2
B00A2HOHTG,de,Samsung Galaxy Note 2 LTE 16GB Telekom-Edition,DeutscheTelekom,599.73
B00A2PY3P6,de,Bot Check,Bot,
B00A2XXXKE,de,Bot Check,Bot,
B00A38K14Y,de,Nokia Lumia 820 Smartphone,Microsoft,200.0
B00A9USBNO,de,Bot Check,Bot,
B00AFZH8F0,de,Bot Check,Bot,
B00AHZLGG0,de,Bot Check,Bot,
B00AI73LAQ,de,Bot Check,Bot,
B00AIKC7L2,de,Bot Check,Bot,
B00AIQ6HA8,de,Bot Check,Bot,
B00AJYL416,de,Bot Check,Bot,
B00AKI7UOG,de,"Nokia Lumia 920 Windows Smartphone, WLAN",Microsoft,
B00ANBTBXI,de,Bot Check,Bot,
B00ANDTGPO,de,Bot Check,Bot,
B00ARJVXT6,de,Bot Check,Bot,
B00ARJVY8G,de,Bot Check,Bot,
B00AX2OONE,de,Bot Check,Bot,
B00AXSXDFI,de,Bot Check,Bot,
B00AXSXE7U,de,Bot Check,Bot,
B00AXSXEHA,de,Bot Check,Bot,
B00AYRKQMG,de,Bot Check,Bot,
B00AZ7JUM2,de,Bot Check,Bot,
B00B47CL5U,de,Bot Check,Bot,
B00B593J08,de,Bot Check,Bot,
B00B5LQCVO,de,"Huawei Ascend G510 Smartphone 4,5 Zoll wei?",Huawei,
B00B71P0SS,de,Bot Check,Bot,
B00B883YQU,de,Bot Check,Bot,
B00B9DZQNI,de,Bot Check,Bot,
B00BBDKZ2S,de,Nokia Lumia 920 Smartphone UNLOCKED Rot,Microsoft,475.7
B00BBKWZG0,de,Bot Check,Bot,
B00BC1RZXG,de,Samsung i9305 Galaxy S3 4G Titan Grey libre,Samsung,
B00BCSXOOS,de,Bot Check,Bot,
B00BEAITWQ,de,Bot Check,Bot,
B00BEEGZBE,de,Bot Check,Bot,
B00BEQV6XE,de,Bot Check,Bot,
B00BFUS8C6,de,"HTC One Smartphone 11,9 cm silber",HTC,249.9
B00BI2VL5M,de,Bot Check,Bot,
B00BI2VLQG,de,Bot Check,Bot,
B00BJ2Z3G4,de,Bot Check,Bot,
B00BJJVO06,de,Sony Xperia SP SIM-free Android Smartphone - Schwarz,Sony,
B00BJJVQ86,de,Bot Check,Bot,
B00BJO9VWY,de,Deutsche Telekom HTC One Silber - Smartphones,DeutscheTelekom,349.0
B00BL5A29C,de,Bot Check,Bot,
B00BLSOZB0,de,Bot Check,Bot,
B00BM9BVZG,de,Bot Check,Bot,
B00BMP9T0E,de,Bot Check,Bot,
B00BMUBJJ8,de,Bot Check,Bot,
B00BN840KO,de,Bot Check,Bot,
B00BN841MQ,de,Bot Check,Bot,
B00BN8428O,de,Bot Check,Bot,
B00BNAKJ0W,de,Bot Check,Bot,
B00BNAKJFW,de,"Nokia Lumia 920 Smartphone 4,5 Zoll cyan",Microsoft,
B00BNCLLM0,de,'HTC ONE?每?Smartphone Android,HTC,
B00BSL8V42,de,Bot Check,Bot,
B00BT5UJ42,de,Bot Check,Bot,
B00BT99QMO,de,Sony Xperia ZL LTE Smartphone 5 Zoll rot,Sony,359.9
B00BTG1T1I,de,"Nokia Lumia 720?Smartphone, yellow",Nokia,
B00BTG1T22,de,Bot Check,Bot,
B00BUT56RC,de,Bot Check,Bot,
B00BW69W3M,de,Bot Check,Bot,
B00BWV6OZ6,de,Bot Check,Bot,
B00BWV6PXW,de,Bot Check,Bot,
B00BWV6QJA,de,Bot Check,Bot,
B00BWV6QVI,de,Bot Check,Bot,
B00C1DIGRI,de,Bot Check,Bot,
B00C3GBRRO,de,Bot Check,Bot,
B00C4S3VNE,de,Bot Check,Bot,
B00C4TP500,de,Bot Check,Bot,
B00C57KY5C,de,Bot Check,Bot,
B00C6CZVNQ,de,Bot Check,Bot,
B00CES59A2,de,Bot Check,Bot,
B00CGYDEG0,de,Bot Check,Bot,
B00CIF9MJK,de,Original Akkufachdeckel f邦r SAMSUNG GT-I9500,Samsung,269.0
B00CJ8NY18,de,Bot Check,Bot,
B00CJALDCS,de,Bot Check,Bot,
B00CJHUKN4,de,"LG P875 Optimus F5 Smartphone 4,3 Zoll schwarz",LGElectronics,
B00CKVZ598,de,"Samsung I8730 Galaxy Express Smartphone (11,4 cm (4,5 Zoll) Super AMOLED Touchscreen, Dual-Core, 1,2GHz, 5 Megapixel Kamera, 4GB interner Speicher, Android 4.1) grau - Telekom Edition",Samsung,
B00CKXQJO6,de,Bot Check,Bot,
B00CO21YZM,de,Bot Check,Bot,
B00CP9TJ92,de,Bot Check,Bot,
B00CS2ZWKQ,de,Bot Check,Bot,
B00CS2ZX46,de,Bot Check,Bot,
B00CSPT1IC,de,Bot Check,Bot,
B00CXO7HQQ,de,Bot Check,Bot,
B00CXSST1O,de,"Samsung Galaxy S III i9300 Smartphone 16 GB (12,2 cm (4,8 Zoll) HD Super-AMOLED-Touchscreen, 8 Megapixel Kamera, Android OS) Amber Brown",Samsung,
B00D06Y8QI,de,Bot Check,Bot,
B00D06Y90S,de,Bot Check,Bot,
B00D06Y9JY,de,Bot Check,Bot,
B00D7ZMT4A,de,Bot Check,Bot,
B00DAS0C48,de,Bot Check,Bot,
B00DAS0DSI,de,Bot Check,Bot,
B00DB93SLA,de,Bot Check,Bot,
B00DC7CD7G,de,Bot Check,Bot,
B00DELEATO,de,Bot Check,Bot,
B00DELED3C,de,Bot Check,Bot,
B00DF33HSG,de,Bot Check,Bot,
B00DGJ6E34,de,"Huawei Ascend P6 Smartphone 4,7 Zoll wei?",Huawei,
B00DHLP5P4,de,Bot Check,Bot,
B00DMYKZY2,de,Bot Check,Bot,
B00DMYL0HS,de,BlackBerry Q5 Smartphone 3.1 Zoll schwarz,Blackberry,
B00DNXNQDO,de,Bot Check,Bot,
B00DOANTJ2,de,Bot Check,Bot,
B00DPT52G0,de,Bot Check,Bot,
B00DQ6TRF4,de,Bot Check,Bot,
B00DQ6TU24,de,Bot Check,Bot,
B00DSQGXOK,de,Bot Check,Bot,
B00DSR6WMM,de,Bot Check,Bot,
B00DTV8K54,de,Bot Check,Bot,
B00DUFOGPC,de,Bot Check,Bot,
B00DYVYC1A,de,Bot Check,Bot,
B00DZG9Z3O,de,Bot Check,Bot,
B00E0EPURA,de,Bot Check,Bot,
B00E0G3R8W,de,Bot Check,Bot,
B00E1ILQ2S,de,Bot Check,Bot,
B00E3GRZDC,de,Bot Check,Bot,
B00E3I7UBM,de,Bot Check,Bot,
B00E4MHY54,de,"Huawei Ascend G525 Dual-SIM Smartphone 4,5 Zoll schwarz",Huawei,
B00E4MHY6I,de,Bot Check,Bot,
B00E4OBKQ6,de,"HTC One Smartphone 11,9 cm rot",HTC,
B00E57PIGK,de,Bot Check,Bot,
B00E5C03TW,de,Bot Check,Bot,
B00EB7Q65Q,de,Bot Check,Bot,
B00EC693B0,de,Nokia Lumia 625,Microsoft,208.98
B00ECO87JG,de,Bot Check,Bot,
B00ECO8AES,de,"Wiko Darkside Smartphone 5,7 Zoll arctic wei?",Wiko,
B00ECVF8WI,de,Bot Check,Bot,
B00EE6P48E,de,"HTC Desire 500 Smartphone 4,3 Zoll glacier blue",HTC,
B00EJE1V56,de,Bot Check,Bot,
B00EQ0BHK2,de,Bot Check,Bot,
B00EQ8Y7AG,de,"LG G2 Smartphone 13,2 cm schwarz",LGElectronics,
B00ET3WZKC,de,Bot Check,Bot,
B00ET7MYBS,de,Bot Check,Bot,
B00EUSXCD0,de,Doro Phone Easy 607 Sim Freies Handy Schwarz / Graphit,Doro,
B00EXMV9C4,de,Bot Check,Bot,
B00EZ13J6W,de,"HTC One Smartphone 4,7 Zoll hellblau",HTC,449.9
B00F027380,de,Bot Check,Bot,
B00F029ODW,de,Bot Check,Bot,
B00F07WTF2,de,"Samsung Galaxy Note 3 Smartphone 5,7 Zoll wei?",Samsung,535.42
B00F07WTLG,de,Bot Check,Bot,
B00F0KUZOQ,de,Bot Check,Bot,
B00F3J27CC,de,Bot Check,Bot,
B00F3J2ITY,de,Bot Check,Bot,
B00F3J31C2,de,Bot Check,Bot,
B00F3J4HCA,de,"Apple iPhone 5S 16GB silber wie NEU OVP Smartphone (10,2 cm (4 Zoll) IPS Retina-Touchscreen, 8 Megapixel Kamera) Handy mit allem Apple Zubeh?r",Apple,
B00F652TBM,de,Bot Check,Bot,
B00F6TRKWG,de,Bot Check,Bot,
B00F6X031C,de,Bot Check,Bot,
B00F6X0SK8,de,Bot Check,Bot,
B00F8C885E,de,Bot Check,Bot,
B00F8JDBF4,de,"Apple iPhone 5S Smartphone 10,2 cm spacegrau",Apple,
B00F8JDBT0,de,Apple iPhone 5S Smartphone 4 Zoll Gold,Apple,
B00F8JDCBC,de,Bot Check,Bot,
B00F8JDD2K,de,Bot Check,Bot,
B00F8JHAKQ,de,Bot Check,Bot,
B00F8JHBPK,de,Bot Check,Bot,
B00F8JHCMC,de,Bot Check,Bot,
B00F8JHD76,de,Bot Check,Bot,
B00F8JHDN0,de,Bot Check,Bot,
B00F8JHE16,de,Bot Check,Bot,
B00F8JHESY,de,Bot Check,Bot,
B00F8JHFD8,de,Bot Check,Bot,
B00F8JHFWO,de,"Apple iPhone 5C Smartphone 10,2 cm gr邦n",Apple,
B00F8JHGXM,de,Bot Check,Bot,
B00F8WGF1S,de,Asus Fonepad Note 6 15.24 cm Tablet PCs weiss,ASUSComputer,
B00F8WGFIQ,de,,,
B00FB8IK3A,de,Bot Check,Bot,
B00FBG3KPU,de,Bot Check,Bot,
B00FBTZB7W,de,Apple iPhone 5S 16GB schwarz / Spacegrau wie NEU OVP,Apple,
B00FFDHECO,de,iPhone 5S 4?g gold 16?GB,Apple,
B00FG0UCC0,de,Bot Check,Bot,
B00FG1J7FC,de,Bot Check,Bot,
B00FKQEJA6,de,Blackberry Z30?16?GB 4?G,Blackberry,
B00FN2HX8C,de,Bot Check,Bot,
B00FRLAZXO,de,Bot Check,Bot,
B00FSBOG0Q,de,"'Leotec l-phone Xenon X157?5,7, 8?MP",Leotec,231.87
B00FVPEF7I,de,Bot Check,Bot,
B00FVPVW0Q,de,Bot Check,Bot,
B00FW3MCYM,de,Bot Check,Bot,
B00FW5G476,de,Bot Check,Bot,
B00G4DTPEE,de,Bot Check,Bot,
B00G4DTQLQ,de,Bot Check,Bot,
B00G4DTR0G,de,Bot Check,Bot,
B00G7C06N6,de,Bot Check,Bot,
B00G7FXQYY,de,Bot Check,Bot,
B00G7G06XW,de,Bot Check,Bot,
